Frequency (Hz),FFT Magnitude (dB)
781.25,-71.683
781.92,-71.087
782.60,-71.724
783.27,-70.366
783.94,-70.684
784.62,-71.335
785.29,-70.494
785.96,-72.419
786.63,-70.691
787.31,-72.954
787.98,-71.685
788.65,-70.927
789.33,-71.593
790.00,-70.914
790.67,-71.216
791.35,-71.981
792.02,-71.290
792.69,-71.788
793.36,-72.200
794.04,-70.588
794.71,-70.736
795.38,-70.339
796.06,-69.911
796.73,-71.159
797.40,-71.052
798.07,-71.832
798.75,-71.982
799.42,-71.475
800.09,-71.529
800.77,-71.117
801.44,-71.495
802.11,-70.984
802.78,-69.589
803.46,-69.747
804.13,-70.663
804.80,-69.101
805.48,-69.621
806.15,-70.588
806.82,-70.979
807.50,-69.797
808.17,-71.560
808.84,-70.381
809.51,-68.825
810.19,-69.158
810.86,-69.615
811.53,-70.421
812.21,-69.486
812.88,-69.722
813.55,-69.042
814.22,-68.739
814.90,-69.925
815.57,-70.477
816.24,-70.361
816.92,-68.690
817.59,-70.705
818.26,-69.018
818.93,-67.482
819.61,-69.029
820.28,-69.151
820.95,-69.589
821.63,-68.550
822.30,-68.988
822.97,-68.505
823.65,-68.775
824.32,-68.020
824.99,-67.949
825.66,-68.245
826.34,-69.299
827.01,-69.301
827.68,-68.361
828.36,-68.448
829.03,-67.453
829.70,-68.306
830.37,-67.766
831.05,-67.456
831.72,-68.808
832.39,-68.177
833.07,-67.478
833.74,-67.411
834.41,-67.231
835.08,-66.922
835.76,-67.614
836.43,-67.411
837.10,-66.942
837.78,-66.867
838.45,-65.416
839.12,-68.322
839.79,-67.313
840.47,-67.161
841.14,-66.411
841.81,-68.283
842.49,-66.987
843.16,-66.095
843.83,-66.581
844.51,-66.470
845.18,-64.745
845.85,-65.815
846.52,-65.686
847.20,-65.800
847.87,-64.597
848.54,-66.863
849.22,-65.392
849.89,-66.013
850.56,-65.791
851.23,-65.107
851.91,-65.720
852.58,-64.418
853.25,-64.435
853.93,-64.757
854.60,-64.124
855.27,-63.063
855.94,-64.091
856.62,-63.578
857.29,-63.259
857.96,-63.136
858.64,-64.679
859.31,-63.230
859.98,-63.575
860.66,-63.709
861.33,-64.947
862.00,-63.260
862.67,-62.465
863.35,-62.482
864.02,-61.835
864.69,-61.297
865.37,-62.523
866.04,-61.139
866.71,-61.172
867.38,-60.763
868.06,-60.613
868.73,-61.226
869.40,-60.003
870.08,-60.772
870.75,-59.942
871.42,-61.243
872.09,-59.510
872.77,-60.913
873.44,-59.658
874.11,-59.248
874.79,-59.745
875.46,-58.957
876.13,-58.938
876.81,-58.770
877.48,-58.566
878.15,-59.621
878.82,-57.722
879.50,-58.251
880.17,-57.465
880.84,-56.913
881.52,-57.129
882.19,-57.204
882.86,-56.671
883.53,-57.384
884.21,-57.993
884.88,-54.541
885.55,-55.119
886.23,-54.897
886.90,-55.235
887.57,-54.902
888.24,-54.767
888.92,-55.733
889.59,-54.213
890.26,-54.750
890.94,-54.159
891.61,-53.018
892.28,-53.655
892.96,-53.716
893.63,-53.064
894.30,-53.363
894.97,-53.037
895.65,-52.660
896.32,-53.402
896.99,-53.684
897.67,-53.310
898.34,-54.115
899.01,-53.569
899.68,-53.938
900.36,-54.489
901.03,-54.743
901.70,-55.921
902.38,-55.417
903.05,-56.946
903.72,-56.191
904.39,-55.959
905.07,-56.190
905.74,-56.597
906.41,-56.435
907.09,-56.249
907.76,-56.403
908.43,-56.811
909.10,-57.993
909.78,-58.066
910.45,-58.256
911.12,-59.224
911.80,-58.090
912.47,-58.768
913.14,-59.087
913.82,-59.133
914.49,-59.749
915.16,-58.432
915.83,-59.926
916.51,-59.210
917.18,-58.040
917.85,-59.213
918.53,-59.010
919.20,-61.126
919.87,-59.801
920.54,-60.520
921.22,-60.747
921.89,-61.892
922.56,-62.554
923.24,-61.206
923.91,-62.402
924.58,-61.471
925.25,-62.235
925.93,-61.411
926.60,-63.315
927.27,-61.457
927.95,-62.080
928.62,-61.768
929.29,-61.974
929.97,-61.916
930.64,-63.424
931.31,-63.108
931.98,-64.130
932.66,-63.048
933.33,-62.815
934.00,-65.148
934.68,-65.313
935.35,-64.341
936.02,-63.985
936.69,-64.579
937.37,-64.280
938.04,-65.520
938.71,-66.226
939.39,-64.713
940.06,-64.962
940.73,-65.594
941.40,-65.062
942.08,-65.466
942.75,-66.675
943.42,-65.671
944.10,-64.394
944.77,-65.014
945.44,-65.557
946.12,-65.379
946.79,-64.893
947.46,-64.583
948.13,-67.203
948.81,-65.950
949.48,-65.136
950.15,-65.768
950.83,-65.861
951.50,-67.270
952.17,-66.573
952.84,-67.071
953.52,-66.579
954.19,-67.861
954.86,-65.429
955.54,-66.182
956.21,-66.333
956.88,-66.944
957.55,-68.025
958.23,-66.830
958.90,-67.007
959.57,-65.509
960.25,-68.441
960.92,-67.781
961.59,-66.738
962.27,-67.763
962.94,-67.215
963.61,-67.183
964.28,-66.419
964.96,-66.675
965.63,-68.001
966.30,-67.136
966.98,-67.798
967.65,-68.754
968.32,-66.860
968.99,-68.065
969.67,-68.043
970.34,-68.111
971.01,-68.977
971.69,-68.079
972.36,-67.792
973.03,-68.400
973.70,-67.685
974.38,-69.668
975.05,-69.375
975.72,-68.908
976.40,-69.215
977.07,-67.507
977.74,-69.478
978.41,-69.352
979.09,-69.223
979.76,-68.965
980.43,-68.843
981.11,-69.615
981.78,-68.983
982.45,-69.234
983.13,-67.986
983.80,-68.796
984.47,-69.385
985.14,-69.210
985.82,-69.316
986.49,-68.660
987.16,-67.812
987.84,-69.744
988.51,-69.840
989.18,-68.779
989.85,-67.722
990.53,-69.912
991.20,-68.816
991.87,-69.802
992.55,-69.295
993.22,-68.826
993.89,-69.420
994.56,-69.566
995.24,-69.078
995.91,-71.462
996.58,-70.051
997.26,-68.950
997.93,-69.738
998.60,-69.468
999.28,-72.892
999.95,-68.464
1000.62,-69.273
1001.29,-70.109
1001.97,-69.567
1002.64,-70.242
1003.31,-69.842
1003.99,-70.732
1004.66,-71.496
1005.33,-69.234
1006.00,-70.620
1006.68,-70.611
1007.35,-69.562
1008.02,-70.070
1008.70,-69.809
1009.37,-69.526
1010.04,-69.042
1010.71,-69.476
1011.39,-70.074
1012.06,-70.854
1012.73,-69.857
1013.41,-68.678
1014.08,-69.063
1014.75,-70.804
1015.43,-69.919
1016.10,-71.095
1016.77,-69.300
1017.44,-69.467
1018.12,-69.850
1018.79,-70.607
1019.46,-68.795
1020.14,-70.981
1020.81,-70.721
1021.48,-70.799
1022.15,-69.579
1022.83,-73.419
1023.50,-71.889
1024.17,-72.605
1024.85,-70.390
1025.52,-72.202
1026.19,-69.609
1026.86,-70.997
1027.54,-71.035
1028.21,-72.445
1028.88,-71.109
1029.56,-69.783
1030.23,-71.110
1030.90,-70.352
1031.58,-69.757
1032.25,-70.633
1032.92,-69.497
1033.59,-68.286
1034.27,-70.343
1034.94,-71.166
1035.61,-70.743
1036.29,-69.595
1036.96,-70.787
