Frequency (Hz),FFT Magnitude (dB)
164.06,-72.885
164.31,-73.503
164.55,-70.679
164.79,-72.389
165.04,-70.817
165.28,-73.018
165.53,-74.588
165.77,-73.549
166.02,-73.381
166.26,-72.460
166.50,-73.664
166.75,-71.367
166.99,-73.280
167.24,-74.979
167.48,-73.541
167.72,-71.438
167.97,-71.688
168.21,-71.017
168.46,-74.060
168.70,-72.176
168.95,-73.231
169.19,-74.136
169.43,-72.575
169.68,-73.333
169.92,-74.387
170.17,-73.863
170.41,-74.742
170.65,-74.192
170.90,-71.059
171.14,-73.830
171.39,-71.296
171.63,-73.365
171.88,-72.262
172.12,-72.844
172.36,-73.550
172.61,-71.303
172.85,-70.215
173.10,-73.190
173.34,-75.552
173.58,-73.741
173.83,-74.235
174.07,-73.080
174.32,-72.787
174.56,-73.433
174.80,-73.116
175.05,-71.237
175.29,-73.317
175.54,-73.059
175.78,-74.271
176.03,-74.226
176.27,-70.655
176.51,-72.685
176.76,-73.283
177.00,-72.611
177.25,-73.236
177.49,-75.231
177.73,-72.299
177.98,-70.855
178.22,-73.587
178.47,-72.422
178.71,-73.369
178.96,-74.477
179.20,-74.386
179.44,-71.298
179.69,-75.341
179.93,-74.171
180.18,-74.219
180.42,-71.245
180.66,-73.194
180.91,-73.341
181.15,-74.353
181.40,-72.232
181.64,-71.568
181.88,-73.410
182.13,-72.604
182.37,-74.328
182.62,-72.912
182.86,-71.387
183.11,-71.439
183.35,-71.540
183.59,-72.862
183.84,-73.612
184.08,-70.548
184.33,-71.914
184.57,-76.511
184.81,-72.701
185.06,-71.298
185.30,-71.650
185.55,-74.467
185.79,-69.761
186.04,-75.588
186.28,-74.242
186.52,-73.695
186.77,-73.775
187.01,-72.735
187.26,-74.087
187.50,-74.801
187.74,-71.985
187.99,-73.085
188.23,-72.220
188.48,-72.236
188.72,-72.814
188.96,-72.035
189.21,-72.545
189.45,-71.808
189.70,-70.376
189.94,-70.897
190.19,-70.823
190.43,-70.272
190.67,-71.177
190.92,-72.669
191.16,-73.052
191.41,-69.944
191.65,-70.341
191.89,-71.300
192.14,-72.043
192.38,-69.044
192.63,-69.473
192.87,-73.179
193.12,-73.148
193.36,-70.799
193.60,-70.452
193.85,-71.662
194.09,-71.716
194.34,-70.431
194.58,-72.334
194.82,-71.919
195.07,-71.897
195.31,-72.266
195.56,-72.210
195.80,-71.776
196.04,-69.130
196.29,-70.055
196.53,-72.866
196.78,-71.687
197.02,-70.378
197.27,-71.338
197.51,-72.051
197.75,-71.304
198.00,-68.991
198.24,-68.844
198.49,-69.964
198.73,-71.812
198.97,-70.038
199.22,-72.039
199.46,-69.502
199.71,-69.482
199.95,-72.403
200.20,-70.250
200.44,-70.928
200.68,-72.879
