Frequency (Hz),FFT Magnitude (dB)
368.65,-81.820
369.14,-81.473
369.63,-79.623
370.12,-81.220
370.61,-80.700
371.09,-80.141
371.58,-77.354
372.07,-77.951
372.56,-80.039
373.05,-80.715
373.54,-81.827
374.02,-81.679
374.51,-81.939
375.00,-81.949
375.49,-80.089
375.98,-82.315
376.46,-82.798
376.95,-84.082
377.44,-82.448
377.93,-83.697
378.42,-84.014
378.91,-85.098
379.39,-81.773
379.88,-82.625
380.37,-81.737
380.86,-79.514
381.35,-79.664
381.84,-81.433
382.32,-79.212
382.81,-79.941
383.30,-79.440
383.79,-78.628
384.28,-81.831
384.77,-81.247
385.25,-85.242
385.74,-84.384
386.23,-83.315
386.72,-84.212
387.21,-82.202
387.70,-83.401
388.18,-82.165
388.67,-81.336
389.16,-80.725
389.65,-81.810
390.14,-84.359
390.62,-83.415
391.11,-84.123
391.60,-81.762
392.09,-82.625
392.58,-83.219
393.07,-82.216
393.55,-80.404
394.04,-80.399
394.53,-78.890
395.02,-77.796
395.51,-77.842
396.00,-77.760
396.48,-78.912
396.97,-79.152
397.46,-77.946
397.95,-75.911
398.44,-67.394
398.93,-77.523
399.41,-80.193
399.90,-80.178
400.39,-81.397
400.88,-83.533
401.37,-82.009
401.86,-82.065
402.34,-83.181
402.83,-82.623
403.32,-82.880
403.81,-82.274
404.30,-82.050
404.79,-83.331
405.27,-81.977
405.76,-83.114
406.25,-82.135
406.74,-81.591
407.23,-82.189
407.71,-82.962
408.20,-82.461
408.69,-82.640
409.18,-83.872
409.67,-83.784
410.16,-82.745
410.64,-83.146
411.13,-84.573
411.62,-82.717
412.11,-83.849
412.60,-83.349
413.09,-84.298
413.57,-82.861
414.06,-84.413
414.55,-83.326
415.04,-82.218
415.53,-81.623
416.02,-82.977
416.50,-82.173
416.99,-83.296
417.48,-81.785
417.97,-81.304
418.46,-81.756
418.95,-82.619
419.43,-81.602
419.92,-81.416
420.41,-82.075
420.90,-82.707
421.39,-82.217
421.88,-81.712
422.36,-81.841
422.85,-82.875
423.34,-82.543
423.83,-81.563
424.32,-79.566
424.80,-82.004
425.29,-80.658
425.78,-80.378
426.27,-81.359
426.76,-81.102
427.25,-79.632
427.73,-80.069
428.22,-79.967
428.71,-81.542
429.20,-80.828
429.69,-80.327
430.18,-82.013
430.66,-80.892
431.15,-79.923
431.64,-82.013
432.13,-80.896
432.62,-79.994
433.11,-80.531
433.59,-80.267
434.08,-78.263
434.57,-79.042
435.06,-78.710
435.55,-78.952
436.04,-79.153
436.52,-78.162
437.01,-77.623
437.50,-78.249
437.99,-77.657
438.48,-78.875
438.96,-78.851
439.45,-78.076
439.94,-77.700
440.43,-78.729
440.92,-77.885
441.41,-80.095
441.89,-79.479
442.38,-78.723
442.87,-78.418
443.36,-78.452
443.85,-78.039
444.34,-79.193
444.82,-78.531
445.31,-77.042
445.80,-76.665
446.29,-77.726
446.78,-78.149
447.27,-77.793
447.75,-78.903
448.24,-78.171
448.73,-80.027
449.22,-79.980
449.71,-81.078
450.20,-80.200
450.68,-80.172
451.17,-79.996
451.66,-78.071
452.15,-79.179
452.64,-80.608
453.12,-79.495
453.61,-77.853
454.10,-78.713
454.59,-78.203
455.08,-77.534
455.57,-76.847
456.05,-75.958
456.54,-77.201
457.03,-76.954
457.52,-77.516
458.01,-76.967
458.50,-77.011
458.98,-76.199
459.47,-75.942
459.96,-76.049
460.45,-76.024
460.94,-75.951
461.43,-76.836
461.91,-76.708
462.40,-76.393
462.89,-77.269
463.38,-77.459
463.87,-77.147
464.36,-75.847
464.84,-75.405
465.33,-74.323
465.82,-75.108
466.31,-75.319
466.80,-76.485
467.29,-76.853
467.77,-76.638
468.26,-77.053
468.75,-75.728
469.24,-76.290
469.73,-74.963
470.21,-75.461
470.70,-76.533
471.19,-75.148
471.68,-75.585
472.17,-75.419
472.66,-75.851
473.14,-77.520
473.63,-77.095
474.12,-74.666
474.61,-73.292
475.10,-71.580
475.59,-75.595
476.07,-74.627
476.56,-76.415
477.05,-74.150
477.54,-76.226
478.03,-75.785
478.52,-76.009
479.00,-75.243
479.49,-75.567
479.98,-77.858
480.47,-75.989
480.96,-74.763
481.45,-75.703
481.93,-75.523
482.42,-73.545
482.91,-73.608
483.40,-74.500
483.89,-75.061
484.38,-73.188
484.86,-75.948
485.35,-73.296
485.84,-73.563
486.33,-72.973
486.82,-73.379
487.30,-73.760
487.79,-73.646
488.28,-74.516
488.77,-73.665
489.26,-75.176
489.75,-74.806
490.23,-72.368
490.72,-72.829
491.21,-73.095
491.70,-74.189
492.19,-73.096
492.68,-71.992
493.16,-71.859
493.65,-72.692
494.14,-72.837
494.63,-72.794
495.12,-72.824
495.61,-71.625
496.09,-71.244
496.58,-71.884
497.07,-72.627
497.56,-73.905
498.05,-73.381
498.54,-73.826
499.02,-73.593
499.51,-73.794
500.00,-72.407
500.49,-72.673
500.98,-71.878
501.46,-72.423
501.95,-72.313
502.44,-71.938
502.93,-71.619
503.42,-71.645
503.91,-72.997
504.39,-72.816
504.88,-71.213
505.37,-71.804
505.86,-73.246
506.35,-73.337
506.84,-73.572
507.32,-73.628
507.81,-71.418
508.30,-71.809
508.79,-71.926
509.28,-70.546
509.77,-70.714
510.25,-70.981
510.74,-70.541
511.23,-70.403
511.72,-71.510
512.21,-70.078
512.70,-72.208
513.18,-71.561
513.67,-72.716
514.16,-70.650
514.65,-71.184
515.14,-71.669
515.62,-72.438
516.11,-70.744
516.60,-72.884
517.09,-72.283
517.58,-72.836
518.07,-71.899
518.55,-71.392
519.04,-71.449
519.53,-71.890
520.02,-71.113
520.51,-71.953
521.00,-71.518
521.48,-70.515
521.97,-72.477
522.46,-72.861
522.95,-73.188
523.44,-72.244
523.93,-71.459
524.41,-70.814
524.90,-72.739
525.39,-72.500
525.88,-72.187
526.37,-72.075
526.86,-74.406
527.34,-73.560
527.83,-72.352
528.32,-73.728
528.81,-73.790
529.30,-74.278
529.79,-71.975
530.27,-69.204
530.76,-64.904
531.25,-57.266
531.74,-66.488
532.23,-71.757
532.71,-72.780
533.20,-73.055
533.69,-74.132
534.18,-74.513
534.67,-74.778
535.16,-75.086
535.64,-73.439
536.13,-73.354
536.62,-73.540
537.11,-74.064
537.60,-74.447
538.09,-74.859
538.57,-74.651
539.06,-73.857
539.55,-74.396
540.04,-73.166
540.53,-75.229
541.02,-75.290
541.50,-74.763
541.99,-75.546
542.48,-75.965
542.97,-75.211
543.46,-75.237
543.95,-75.494
544.43,-74.620
544.92,-76.720
545.41,-73.680
545.90,-74.046
546.39,-75.298
546.88,-73.890
547.36,-73.837
547.85,-76.705
548.34,-76.852
548.83,-75.926
549.32,-76.307
549.80,-75.475
550.29,-75.419
550.78,-75.557
551.27,-75.029
551.76,-75.670
552.25,-74.902
552.73,-76.111
553.22,-77.064
553.71,-76.190
554.20,-77.416
554.69,-76.801
555.18,-77.344
555.66,-76.817
556.15,-78.648
556.64,-74.238
557.13,-76.277
557.62,-77.176
558.11,-78.299
558.59,-79.292
559.08,-75.738
559.57,-76.943
560.06,-77.701
560.55,-78.166
561.04,-77.580
561.52,-78.954
562.01,-76.346
562.50,-77.319
562.99,-77.010
563.48,-78.774
563.96,-75.845
564.45,-77.428
564.94,-76.905
565.43,-77.223
565.92,-78.590
566.41,-78.340
566.89,-78.355
567.38,-77.562
567.87,-76.024
568.36,-76.568
568.85,-77.487
569.34,-78.161
569.82,-79.128
570.31,-79.504
570.80,-78.401
571.29,-79.812
571.78,-77.630
572.27,-78.742
572.75,-77.579
573.24,-79.248
573.73,-77.981
574.22,-80.141
574.71,-82.083
575.20,-79.572
575.68,-80.190
576.17,-79.452
576.66,-79.515
577.15,-80.225
577.64,-80.319
578.12,-80.078
578.61,-80.291
579.10,-80.435
579.59,-80.493
580.08,-77.672
580.57,-70.818
581.05,-73.439
581.54,-77.977
582.03,-78.624
582.52,-78.562
583.01,-78.617
583.50,-79.611
583.98,-78.695
584.47,-77.735
584.96,-80.719
585.45,-80.142
585.94,-82.250
586.43,-82.498
586.91,-79.693
587.40,-79.137
587.89,-77.236
588.38,-80.770
588.87,-81.267
589.36,-82.430
589.84,-81.624
590.33,-80.627
590.82,-82.406
591.31,-79.611
591.80,-80.247
592.29,-79.940
592.77,-79.036
593.26,-82.325
593.75,-81.245
594.24,-81.087
594.73,-80.588
595.21,-82.058
595.70,-81.806
596.19,-83.177
596.68,-82.399
597.17,-82.073
597.66,-81.722
598.14,-80.312
598.63,-81.303
599.12,-82.406
599.61,-83.095
600.10,-82.444
600.59,-81.973
601.07,-81.627
601.56,-82.406
602.05,-82.180
602.54,-81.475
603.03,-83.050
603.52,-81.657
604.00,-81.374
604.49,-82.565
604.98,-81.224
605.47,-81.853
605.96,-82.474
606.45,-81.934
606.93,-81.977
607.42,-81.529
607.91,-82.158
608.40,-82.171
608.89,-82.572
609.38,-82.064
609.86,-83.141
610.35,-82.990
610.84,-76.447
611.33,-79.608
611.82,-82.162
612.30,-82.739
612.79,-83.071
613.28,-83.740
613.77,-85.047
614.26,-83.072
614.75,-82.245
615.23,-81.247
615.72,-82.664
616.21,-84.049
616.70,-83.448
617.19,-82.587
617.68,-83.065
618.16,-83.662
618.65,-82.628
619.14,-84.547
619.63,-84.524
620.12,-82.585
620.61,-84.331
621.09,-83.531
621.58,-83.890
622.07,-82.391
622.56,-83.988
623.05,-81.646
623.54,-84.524
624.02,-81.408
624.51,-82.552
625.00,-84.579
625.49,-83.602
625.98,-81.171
626.46,-82.172
626.95,-83.238
627.44,-82.287
627.93,-83.491
628.42,-82.686
628.91,-82.045
629.39,-82.128
629.88,-84.607
630.37,-83.535
630.86,-83.910
631.35,-83.896
631.84,-84.120
632.32,-84.523
632.81,-84.732
633.30,-83.723
633.79,-84.251
634.28,-84.526
634.77,-82.638
635.25,-84.471
635.74,-84.108
636.23,-84.036
636.72,-83.789
637.21,-83.881
637.70,-83.045
