Frequency (Hz),FFT Magnitude (dB)
262.70,-79.931
263.18,-81.665
263.67,-79.877
264.16,-81.513
264.65,-82.577
265.14,-80.476
265.62,-73.420
266.11,-80.921
266.60,-79.455
267.09,-70.960
267.58,-78.603
268.07,-81.185
268.55,-81.736
269.04,-80.531
269.53,-80.519
270.02,-81.280
270.51,-79.278
271.00,-80.998
271.48,-80.126
271.97,-79.117
272.46,-79.660
272.95,-79.989
273.44,-81.617
273.93,-81.268
274.41,-82.248
274.90,-84.008
275.39,-84.462
275.88,-83.155
276.37,-86.457
276.86,-84.301
277.34,-84.426
277.83,-82.574
278.32,-81.393
278.81,-80.892
279.30,-69.864
279.79,-79.488
280.27,-77.408
280.76,-79.984
281.25,-79.869
281.74,-82.007
282.23,-81.732
282.71,-80.872
283.20,-81.121
283.69,-82.544
284.18,-83.263
284.67,-83.546
285.16,-83.987
285.64,-83.402
286.13,-84.327
286.62,-82.857
287.11,-83.174
287.60,-82.890
288.09,-82.784
288.57,-82.182
289.06,-84.061
289.55,-83.060
290.04,-83.957
290.53,-83.393
291.02,-83.555
291.50,-82.178
291.99,-83.174
292.48,-83.343
292.97,-80.221
293.46,-82.800
293.95,-80.874
294.43,-83.429
294.92,-81.246
295.41,-82.133
295.90,-82.546
296.39,-81.828
296.88,-81.516
297.36,-79.618
297.85,-80.968
298.34,-81.176
298.83,-81.920
299.32,-82.867
299.80,-83.056
300.29,-82.531
300.78,-81.734
301.27,-80.981
301.76,-82.153
302.25,-81.060
302.73,-81.072
303.22,-82.489
303.71,-80.904
304.20,-80.389
304.69,-82.223
305.18,-81.482
305.66,-81.313
306.15,-81.785
306.64,-82.260
307.13,-83.585
307.62,-84.340
308.11,-84.904
308.59,-83.329
309.08,-83.889
309.57,-84.911
310.06,-84.228
310.55,-82.952
311.04,-82.439
311.52,-83.966
312.01,-83.291
312.50,-83.099
312.99,-85.791
313.48,-85.346
313.96,-87.186
314.45,-85.042
314.94,-86.399
315.43,-84.692
315.92,-86.279
316.41,-85.687
316.89,-85.303
317.38,-86.248
317.87,-84.604
318.36,-83.858
318.85,-86.024
319.34,-87.196
319.82,-87.244
320.31,-85.202
320.80,-87.280
321.29,-86.280
321.78,-85.219
322.27,-84.865
322.75,-83.773
323.24,-85.734
323.73,-85.708
324.22,-83.372
324.71,-85.499
325.20,-85.281
325.68,-83.493
326.17,-84.248
326.66,-86.138
327.15,-86.991
327.64,-87.799
328.12,-86.116
328.61,-87.285
329.10,-85.494
329.59,-84.585
330.08,-84.140
330.57,-82.865
331.05,-83.531
331.54,-83.134
332.03,-83.507
332.52,-83.260
333.01,-84.885
333.50,-85.623
333.98,-87.416
334.47,-87.086
334.96,-88.025
335.45,-88.665
335.94,-88.637
336.43,-87.957
336.91,-89.268
337.40,-89.931
337.89,-88.691
338.38,-89.265
338.87,-88.058
339.36,-88.241
339.84,-87.428
340.33,-88.459
340.82,-88.416
341.31,-86.497
341.80,-87.032
342.29,-86.699
342.77,-88.039
343.26,-87.303
343.75,-86.696
344.24,-88.211
344.73,-88.094
345.21,-83.815
345.70,-86.887
346.19,-87.038
346.68,-86.382
347.17,-84.767
347.66,-83.617
348.14,-83.870
348.63,-83.936
349.12,-84.985
349.61,-85.201
350.10,-83.820
350.59,-85.913
351.07,-86.071
351.56,-86.686
352.05,-85.234
352.54,-86.820
353.03,-87.258
353.52,-85.890
354.00,-85.737
354.49,-85.809
354.98,-85.774
355.47,-85.707
355.96,-80.958
356.45,-81.007
356.93,-85.447
357.42,-86.374
357.91,-86.037
358.40,-83.726
358.89,-79.434
359.38,-81.533
359.86,-76.188
360.35,-83.286
360.84,-77.644
361.33,-82.372
361.82,-85.424
362.30,-86.567
362.79,-85.883
363.28,-86.062
363.77,-85.203
364.26,-84.342
364.75,-84.978
365.23,-84.453
365.72,-83.611
366.21,-84.695
366.70,-84.884
367.19,-83.913
367.68,-83.449
368.16,-84.623
368.65,-84.491
369.14,-83.072
369.63,-83.161
370.12,-84.411
370.61,-84.615
371.09,-84.110
371.58,-83.815
372.07,-80.633
372.56,-84.255
373.05,-84.933
373.54,-84.492
374.02,-86.968
374.51,-86.982
375.00,-86.176
375.49,-87.888
375.98,-88.238
376.46,-87.146
376.95,-87.685
377.44,-88.773
377.93,-87.668
378.42,-87.688
378.91,-86.266
379.39,-88.661
379.88,-87.822
380.37,-85.549
380.86,-84.722
381.35,-85.821
381.84,-84.262
382.32,-85.653
382.81,-85.967
383.30,-85.039
383.79,-84.837
384.28,-84.936
384.77,-85.667
385.25,-87.773
385.74,-84.792
386.23,-86.141
386.72,-87.680
387.21,-86.421
387.70,-89.008
388.18,-87.406
388.67,-88.657
389.16,-86.966
389.65,-89.862
390.14,-89.194
390.62,-88.159
391.11,-87.745
391.60,-88.686
392.09,-86.684
392.58,-87.043
393.07,-87.113
393.55,-85.097
394.04,-85.943
394.53,-84.300
395.02,-84.480
395.51,-85.060
396.00,-84.713
396.48,-87.119
396.97,-86.499
397.46,-84.338
397.95,-81.906
398.44,-74.562
398.93,-81.046
399.41,-85.118
399.90,-86.685
400.39,-87.412
400.88,-87.411
401.37,-87.704
401.86,-88.943
402.34,-89.193
402.83,-87.644
403.32,-89.877
403.81,-89.738
404.30,-88.340
404.79,-88.224
405.27,-88.662
405.76,-88.901
406.25,-88.481
406.74,-89.687
407.23,-89.528
407.71,-88.570
408.20,-88.853
408.69,-88.346
409.18,-90.722
409.67,-89.428
410.16,-90.031
410.64,-90.779
411.13,-88.554
411.62,-89.638
412.11,-88.019
412.60,-89.325
413.09,-90.013
413.57,-88.647
414.06,-90.017
414.55,-89.183
415.04,-89.537
415.53,-88.356
416.02,-88.542
416.50,-90.012
416.99,-89.276
417.48,-90.711
417.97,-92.000
418.46,-91.772
418.95,-90.320
419.43,-90.383
419.92,-90.303
420.41,-88.790
420.90,-90.418
421.39,-90.200
421.88,-89.493
422.36,-88.664
422.85,-87.630
423.34,-88.972
423.83,-89.248
424.32,-88.916
424.80,-88.564
425.29,-88.003
425.78,-88.649
426.27,-86.570
426.76,-87.675
427.25,-87.586
427.73,-87.246
428.22,-88.069
428.71,-87.900
429.20,-89.407
429.69,-91.388
430.18,-87.064
430.66,-89.138
431.15,-89.186
431.64,-89.257
432.13,-89.815
432.62,-90.376
433.11,-89.146
433.59,-89.605
434.08,-87.452
434.57,-87.922
435.06,-87.882
435.55,-87.583
436.04,-87.485
436.52,-87.383
437.01,-88.644
437.50,-87.736
437.99,-86.681
438.48,-87.366
438.96,-87.053
439.45,-88.007
439.94,-86.127
440.43,-87.061
440.92,-89.221
441.41,-88.569
441.89,-88.093
442.38,-88.612
442.87,-87.696
443.36,-89.357
443.85,-89.454
444.34,-89.714
444.82,-90.064
445.31,-87.890
445.80,-87.806
446.29,-87.916
446.78,-88.087
447.27,-88.337
447.75,-89.180
448.24,-88.413
448.73,-87.860
449.22,-89.956
449.71,-88.676
450.20,-89.096
450.68,-90.062
451.17,-89.497
451.66,-89.452
452.15,-89.808
452.64,-90.620
453.12,-88.802
453.61,-89.916
454.10,-88.024
454.59,-86.526
455.08,-87.165
455.57,-87.146
456.05,-85.941
456.54,-87.476
457.03,-86.405
457.52,-87.811
458.01,-88.110
458.50,-90.299
458.98,-87.938
459.47,-90.136
459.96,-88.215
460.45,-87.795
460.94,-88.471
461.43,-87.651
461.91,-89.952
462.40,-89.191
462.89,-89.638
463.38,-89.047
463.87,-87.890
464.36,-89.950
464.84,-89.478
465.33,-91.141
465.82,-88.149
466.31,-88.066
466.80,-90.606
467.29,-91.393
467.77,-89.499
468.26,-89.563
468.75,-89.479
469.24,-87.963
469.73,-87.643
470.21,-87.493
470.70,-87.307
471.19,-89.915
471.68,-88.924
472.17,-89.435
472.66,-88.141
473.14,-87.247
473.63,-88.376
474.12,-88.328
474.61,-87.336
475.10,-84.353
475.59,-88.776
476.07,-89.733
476.56,-90.037
477.05,-91.517
477.54,-89.372
478.03,-89.375
478.52,-89.966
479.00,-90.473
479.49,-89.616
479.98,-88.396
480.47,-90.076
480.96,-89.381
481.45,-88.743
481.93,-89.831
482.42,-90.082
482.91,-89.570
483.40,-88.971
483.89,-89.501
484.38,-88.443
484.86,-86.548
485.35,-87.849
485.84,-88.825
486.33,-89.040
486.82,-89.888
