Frequency (Hz),FFT Magnitude (dB)
275.39,-83.220
275.88,-82.547
276.37,-83.226
276.86,-82.764
277.34,-82.116
277.83,-82.069
278.32,-82.076
278.81,-80.380
279.30,-77.073
279.79,-75.332
280.27,-80.135
280.76,-84.013
281.25,-82.178
281.74,-82.406
282.23,-83.590
282.71,-83.422
283.20,-83.597
283.69,-84.358
284.18,-83.234
284.67,-84.303
285.16,-85.327
285.64,-84.744
286.13,-84.554
286.62,-84.632
287.11,-85.115
287.60,-83.602
288.09,-83.323
288.57,-83.811
289.06,-82.157
289.55,-81.865
290.04,-85.281
290.53,-84.270
291.02,-84.013
291.50,-84.967
291.99,-83.913
292.48,-81.114
292.97,-82.269
293.46,-82.379
293.95,-82.679
294.43,-84.187
294.92,-84.042
295.41,-81.035
295.90,-82.477
296.39,-81.280
296.88,-81.094
297.36,-82.463
297.85,-82.920
298.34,-83.355
298.83,-82.848
299.32,-83.221
299.80,-81.924
300.29,-83.014
300.78,-81.269
301.27,-82.615
301.76,-81.292
302.25,-80.897
302.73,-83.330
303.22,-82.247
303.71,-82.791
304.20,-80.530
304.69,-81.807
305.18,-81.795
305.66,-82.484
306.15,-82.302
306.64,-83.250
307.13,-82.930
307.62,-82.154
308.11,-82.204
308.59,-82.994
309.08,-82.278
309.57,-81.613
310.06,-81.704
310.55,-83.255
311.04,-83.181
311.52,-81.621
312.01,-83.450
312.50,-83.240
312.99,-83.432
313.48,-84.392
313.96,-84.493
314.45,-84.198
314.94,-84.079
315.43,-84.897
315.92,-85.078
316.41,-84.217
316.89,-84.024
317.38,-83.747
317.87,-83.806
318.36,-83.895
318.85,-83.384
319.34,-84.020
319.82,-84.027
320.31,-84.650
320.80,-84.616
321.29,-84.552
321.78,-83.459
322.27,-84.790
322.75,-84.621
323.24,-84.596
323.73,-84.651
324.22,-84.030
324.71,-85.123
325.20,-83.207
325.68,-83.381
326.17,-85.013
326.66,-84.130
327.15,-83.250
327.64,-84.622
328.12,-85.613
328.61,-84.207
329.10,-84.089
329.59,-85.814
330.08,-81.936
330.57,-83.627
331.05,-83.202
331.54,-82.495
332.03,-82.229
332.52,-83.701
333.01,-83.801
333.50,-83.709
333.98,-83.697
334.47,-84.853
334.96,-83.293
335.45,-83.364
335.94,-84.752
336.43,-84.605
336.91,-83.298
337.40,-85.862
337.89,-82.363
338.38,-84.708
338.87,-84.671
339.36,-84.137
339.84,-84.566
340.33,-85.500
340.82,-85.102
341.31,-84.369
341.80,-84.948
342.29,-86.356
342.77,-85.914
343.26,-85.324
343.75,-85.703
344.24,-84.744
344.73,-86.398
345.21,-85.922
345.70,-82.530
346.19,-85.213
346.68,-85.079
347.17,-83.999
347.66,-84.022
348.14,-85.058
348.63,-83.236
349.12,-84.454
349.61,-83.223
350.10,-84.095
350.59,-83.833
351.07,-83.637
351.56,-83.217
352.05,-85.575
352.54,-84.510
353.03,-84.912
353.52,-82.461
354.00,-83.495
354.49,-84.269
354.98,-83.540
355.47,-83.089
355.96,-84.145
356.45,-76.934
356.93,-81.551
357.42,-83.241
357.91,-83.770
358.40,-83.898
358.89,-82.619
359.38,-80.011
359.86,-80.097
360.35,-78.591
360.84,-75.616
361.33,-79.555
361.82,-82.637
362.30,-84.576
362.79,-82.129
363.28,-82.310
363.77,-82.207
364.26,-81.026
364.75,-81.846
365.23,-81.252
365.72,-81.979
366.21,-80.886
366.70,-79.338
367.19,-80.937
367.68,-79.880
368.16,-81.502
368.65,-82.141
369.14,-80.905
369.63,-81.315
370.12,-81.782
370.61,-82.807
371.09,-81.188
371.58,-81.615
372.07,-76.383
372.56,-78.127
373.05,-80.292
373.54,-81.303
374.02,-82.254
374.51,-83.093
375.00,-82.817
375.49,-83.791
375.98,-83.988
376.46,-84.630
376.95,-82.647
377.44,-84.295
377.93,-83.794
378.42,-83.243
378.91,-82.051
379.39,-81.962
379.88,-81.700
380.37,-79.992
380.86,-81.879
381.35,-81.478
381.84,-80.468
382.32,-79.468
