Frequency (Hz),FFT Magnitude (dB)
145.02,-74.233
145.26,-78.231
145.51,-75.076
145.75,-74.543
146.00,-73.754
146.24,-72.954
146.48,-73.781
146.73,-73.209
146.97,-73.167
147.22,-72.976
147.46,-72.597
147.71,-72.881
147.95,-72.098
148.19,-69.902
148.44,-61.922
148.68,-70.032
148.93,-69.490
149.17,-72.365
149.41,-71.508
149.66,-70.569
149.90,-70.508
150.15,-70.253
150.39,-70.267
150.63,-72.340
150.88,-68.751
151.12,-69.374
151.37,-70.198
151.61,-69.801
151.86,-67.178
152.10,-68.035
152.34,-66.223
152.59,-69.375
152.83,-68.752
153.08,-70.667
153.32,-69.463
153.56,-72.826
153.81,-70.245
154.05,-69.832
154.30,-67.933
154.54,-68.702
154.79,-69.023
155.03,-68.729
155.27,-71.100
155.52,-72.697
155.76,-72.196
156.01,-72.217
156.25,-72.056
156.49,-71.802
156.74,-71.591
156.98,-72.067
157.23,-73.739
157.47,-72.956
157.71,-74.088
157.96,-74.039
158.20,-70.648
158.45,-74.380
158.69,-73.860
158.94,-70.345
159.18,-66.132
159.42,-61.105
159.67,-69.981
159.91,-72.157
160.16,-73.461
160.40,-72.024
160.64,-73.105
160.89,-72.489
161.13,-74.474
161.38,-73.592
161.62,-72.634
161.87,-73.943
162.11,-73.291
162.35,-73.624
162.60,-71.331
162.84,-71.973
163.09,-70.581
163.33,-74.366
163.57,-72.582
163.82,-75.287
164.06,-73.490
164.31,-71.839
164.55,-71.139
164.79,-72.046
165.04,-71.559
165.28,-72.405
165.53,-71.780
165.77,-72.661
166.02,-72.677
166.26,-72.142
166.50,-72.932
166.75,-72.910
166.99,-75.422
167.24,-72.352
167.48,-73.222
167.72,-74.345
167.97,-73.173
168.21,-72.085
168.46,-73.753
168.70,-74.021
168.95,-73.992
169.19,-73.752
169.43,-72.362
169.68,-73.429
169.92,-74.342
170.17,-74.033
170.41,-72.935
170.65,-72.805
170.90,-72.951
171.14,-75.143
171.39,-73.256
171.63,-74.430
171.88,-75.586
172.12,-77.279
172.36,-73.578
172.61,-75.994
172.85,-71.956
173.10,-69.817
173.34,-71.511
173.58,-76.374
173.83,-73.899
174.07,-77.021
174.32,-76.535
174.56,-76.382
174.80,-75.791
175.05,-78.020
175.29,-76.065
175.54,-76.729
175.78,-77.108
176.03,-78.200
176.27,-77.502
176.51,-77.775
176.76,-76.125
177.00,-75.119
177.25,-75.840
